Counties,Cases,Total Tested By County,Deaths
Autauga,7241,30404,113
Baldwin,21868,117931,314
Barbour,2345,12786,59
Bibb,2685,14728,64
Blount,6945,27790,139
Bullock,1243,6239,42
Butler,2242,9135,71
Calhoun,14719,74731,327
Chambers,3728,18911,124
Cherokee,1873,9372,45
Chilton,4476,20225,116
Choctaw,621,2975,25
Clarke,3530,15893,61
Clay,1600,7733,59
Cleburne,1534,6502,44
Coffee,5635,28952,127
Colbert,6413,28993,140
Conecuh,1136,5108,30
Coosa,1117,4087,29
Covington,4275,21281,122
Crenshaw,1559,6711,57
Cullman,9952,45311,201
Dale,4928,28489,116
Dallas,3607,18733,158
DeKalb,8972,32886,190
Elmore,10293,54336,214
Escambia,4016,16848,80
Etowah,14175,64239,364
Fayette,2188,9274,62
Franklin,4313,16599,82
Geneva,2579,13693,81
Greene,936,4678,34
Hale,2272,10748,78
Henry,1945,9467,43
Houston,10781,63808,287
Jackson,6932,32486,113
Jefferson,81003,457504,1566
Lamar,1468,6575,37
Lauderdale,9603,45401,250
Lawrence,3133,10849,100
Lee,16278,95075,176
Limestone,10179,41000,157
Lowndes,1422,5125,54
Macon,1630,9216,51
Madison,35690,221616,525
Marengo,2505,13168,65
Marion,3240,13388,107
Marshall,12453,49320,230
Mobile,42105,213507,831
Monroe,1800,9616,41
Montgomery,25081,119591,614
Morgan,14629,58909,285
Perry,1086,5103,26
Pickens,2369,11667,62
Pike,3143,16078,78
Randolph,1875,9769,44
Russell,4548,21250,41
St. Clair,10162,48252,251
Shelby,25607,134936,254
Sumter,1057,5416,32
Talladega,8460,40210,184
Tallapoosa,4138,26180,155
Tuscaloosa,26173,164765,458
Walker,7338,31398,280
Washington,1705,7696,39
Wilcox,1269,6161,30
Winston,2834,12118,72
